玩法,档位,价格元/计时按小时,情景,模型,期望毛W/元,估算净W/元,毛中位,毛P10,毛P90,200局结单率,平均局数,备注
保底出红单,同格数2组,520.0,base,pairs,16.983302,14.114506,15.732794,8.33128,27.100109,1.0,18.387667,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同格数2组,520.0,search,pairs,11.290726,9.722294,10.206902,6.555044,17.508595,1.0,9.6065,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同种1对,777.0,pressure,pairs,22.340212,17.427127,20.361204,7.947592,39.0069,0.999333,49.221667,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同种1对,777.0,base,pairs,10.26598,8.5333,9.206815,4.662393,17.586149,1.0,16.5885,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同种1对,777.0,search,pairs,6.95407,5.989251,5.929467,4.068996,11.183771,1.0,8.829,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同种2对,1314.0,pressure,pairs,20.577269,16.055974,19.563032,10.425096,32.161918,0.996333,76.565833,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同种2对,1314.0,base,pairs,9.417985,7.82636,8.779595,5.35499,14.302071,1.0,25.789,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同种2对,1314.0,search,pairs,6.411368,5.520245,5.63826,4.695972,9.205433,1.0,13.7975,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,6格＋9格各一对,7777.0,pressure,unmodeled,,,,,,,,7777档基础币量未核且旧活动过期，不猜目标。
保底出红单,6格＋9格各一对,7777.0,base,unmodeled,,,,,,,,7777档基础币量未核且旧活动过期，不猜目标。
保底出红单,6格＋9格各一对,7777.0,search,unmodeled,,,,,,,,7777档基础币量未核且旧活动过期，不猜目标。
五子棋,基础玩法,388.0,pressure,unmodeled,,,,,,,,棋力、落子策略、多步顺序未定，不能设一个任意胜率冒充完整模型。
五子棋,基础玩法,388.0,base,unmodeled,,,,,,,,棋力、落子策略、多步顺序未定，不能设一个任意胜率冒充完整模型。
五子棋,基础玩法,388.0,search,unmodeled,,,,,,,,棋力、落子策略、多步顺序未定，不能设一个任意胜率冒充完整模型。
永恒之塔,10层,388.0,pressure,tower,16.500771,12.87801,13.085773,6.393576,30.948348,1.0,18.103333,
